,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City ID
57,boddam,57.086387997858736,1.434763132498233,54.66,82,75,19.46,GB,1562504491,2655288.0
58,ajdabiya,30.49945050004365,20.55883759630214,77.54,84,0,14.07,LY,1562504492,89113.0
59,mataura,-28.301959489819048,-152.07167834813345,45.0,80,97,18.01,NZ,1562505010,6201424.0
60,asuncion,-25.32866581740342,-58.429387727322336,48.2,70,0,5.82,PY,1562504215,3439389.0
61,gilazi,41.403342782143,49.592289788848746,,,,,,,
62,inuvik,68.20584695176419,-132.42710977193087,44.6,81,75,5.82,CA,1562504492,5983607.0
63,khonuu,67.39398520111584,144.75196961429248,,,,,,,
64,hilo,9.347371642189245,-144.17023117033347,70.92,78,90,5.82,US,1562504932,5855927.0
65,cabo san lucas,14.692656306979387,-116.25740512983151,77.74,25,75,16.11,MX,1562504401,3985710.0
66,mahebourg,-35.00663508125136,70.0975436301974,76.46,69,20,12.75,MU,1562504493,934322.0
67,zaraza,8.386608036624494,-66.03128601019654,77.54,83,38,1.95,VE,1562504493,3625066.0
68,tuatapere,-56.47776692315461,159.12262387748405,45.0,80,100,17,NZ,1562504493,2180815.0
69,hermanus,-72.76556604515613,-2.790125408898433,62.11,73,96,8.01,ZA,1562505012,3366880.0
70,khatanga,69.8007148574248,99.41834371351354,51.8,66,78,17.45,RU,1562505012,2022572.0
71,vestmannaeyjar,57.76447259363687,-21.851479507531593,55.4,82,20,12.75,IS,1562504493,3412093.0
72,pervomayskiy,54.749664792149645,61.09719113538242,65.48,66,36,11.65,RU,1562504494,510911.0
73,cidreira,-33.16888146453928,-48.452086627709036,48.02,73,58,6.64,BR,1562504494,3466165.0
74,acarau,6.840549812956212,-40.10057075329587,,,,,,,
75,smithers,59.241484426155296,-128.10407400289245,55.4,100,90,2.24,CA,1562504412,6149996.0
76,bredasdorp,-84.96889152016176,17.030892441499162,63.46,55,37,14.99,ZA,1562505013,1015776.0
77,torbay,44.36628427685778,-43.194591992471516,60.76,93,90,16.11,CA,1562504802,6167817.0
78,chake chake,-5.7881972347959305,40.80482164701908,79.16,76,68,13.8,TZ,1562504494,160677.0
79,cherskiy,71.74152762006997,162.88820273865394,64.76,45,14,13,RU,1562505014,2126199.0
80,nanortalik,50.273947681947476,-36.84470154029182,50.54,53,97,11.27,GL,1562504894,3421765.0
81,taoudenni,22.113548590652726,-3.2541685602456027,113.36,7,0,0.47,ML,1562505015,2450173.0
82,oranjemund,-30.88278504944025,12.276658963495208,58.28,82,0,13.98,ZA,1562504495,3354071.0
83,agde,42.636222388046036,3.6248142751690864,92.46,39,0,8.05,FR,1562504495,3038638.0
84,ugoofaaru,5.814124628135929,65.97231024489145,84.56,75,65,10.74,MV,1562504495,1337619.0
85,port alfred,-59.91337625395633,32.84951676801671,62.01,68,55,8.01,ZA,1562505016,964432.0
86,puerto ayora,4.1221071774981795,-92.8986193236395,70.92,83,20,3.36,EC,1562505016,3652764.0
87,souillac,-40.64875090172133,66.05054919313366,82.72,58,0,8.05,FR,1562504496,3026644.0
88,college,64.11843334403335,-149.92467556773255,61.23,55,90,3.36,US,1562504496,5859699.0
